number	value	params_cnn_channel_1	params_cnn_channel_2	params_cnn_channel_3	params_cnn_channel_4	params_cnn_kernel_1	params_cnn_kernel_2	params_dense	params_dropout_l	params_lr	params_max_kernel	params_max_stride	params_optimizer
61	0.6463387952811809	400	400	300	200	9	12	700	0.21095832307434753	0.00012350115219611222	3	2	Adam
3	0.6502790106107217	100	600	900	800	4	7	1000	0.46553474078525076	0.00022228348521294	3	2	Adam
53	0.6540952976187464	400	400	300	200	8	12	700	0.2526388960748912	0.00012181588210985312	3	2	Adam
19	0.6593084558646936	400	400	400	200	7	13	850	0.24773486816303297	0.0001439070007379111	3	2	Adam
71	0.6606903380807068	100	700	700	400	8	9	700	0.21794159959375192	8.646670136761933e-05	4	3	Adam
79	0.6646026982394125	800	1000	900	900	7	12	550	0.2001113099205854	7.843886116647843e-05	3	3	Adam
67	0.6695170039936723	100	700	600	400	8	9	700	0.21818299805529132	8.75142405318216e-05	4	3	Adam
2	0.6741207874889261	500	600	1000	500	6	15	800	0.41361439007780376	0.0001259320544069342	3	3	Adam
72	0.6758554424566173	200	700	600	500	9	8	650	0.20997717512818187	6.245461981246109e-05	5	3	Adam
0	0.676429397833913	1000	600	800	1000	11	11	1000	0.27598507799791383	5.19927307303721e-05	6	6	Adam
82	0.6777296216950721	100	700	600	400	8	8	700	0.2227530872283014	0.00014062838930479444	4	3	Adam
83	0.6793214924796268	100	800	500	300	8	7	650	0.23443894851460298	0.00014049326296256234	5	3	Adam
85	0.6812854060882988	100	800	500	300	8	6	600	0.2322608112795085	0.00015411134207379585	5	4	Adam
4	0.6815817569910054	100	900	500	300	15	10	750	0.43484236426091816	1.7378995240944323e-05	5	4	Adam
63	0.6818479381571789	500	500	400	200	8	11	700	0.23637619331349918	7.634715519742954e-05	3	2	Adam
1	0.6835437769437667	100	1000	300	400	8	10	700	0.23849558009334706	3.9181983137309854e-05	2	2	Adam
86	0.6844138422935213	100	800	500	300	8	6	600	0.2355637577843972	0.00019973236731526874	5	4	Adam
84	0.6856471150693446	100	800	500	300	8	6	650	0.23456537435497685	0.00013828232655125675	5	3	Adam
62	0.6862380541777202	500	400	300	200	8	12	700	0.23592660658235365	8.156192832553892e-05	3	2	Adam
91	0.6907773940177256	100	900	500	200	7	5	550	0.25617893707408895	0.00023938364218760395	5	4	Adam
87	0.6909994774878314	100	800	500	300	7	6	600	0.2564275410731371	0.000218529318203211	5	4	Adam
93	0.6911921872285169	100	900	500	200	7	4	550	0.26574253681823495	0.00019787805061968533	5	4	Adam
88	0.6922225544567758	100	900	500	300	7	6	600	0.27118942371360866	0.00019758632092239099	5	4	Adam
89	0.6940942224009864	100	900	500	200	7	5	550	0.27131032339942	0.00020080080883275162	5	4	Adam
18	0.6942131628035783	200	700	400	200	7	12	850	0.36253877023968195	0.00015918050623543793	5	4	Adam
90	0.6951564986788188	100	900	500	200	7	5	550	0.2700724643822747	0.00019451427792825256	5	4	Adam
95	0.6966528855862562	100	900	500	200	6	5	550	0.28778309669906477	0.00032401294918796807	5	4	Adam
92	0.6970208652081694	100	900	500	200	7	4	550	0.2713009536990827	0.00019739753675831855	5	4	Adam
